Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1MS_QxWmgQA0oU1IkX9ZFw9t0Q8N8Xw7Ct0YKJyZD2Wk/export?format=csv&gid=1651249688

---

sein,to be
haben,to have
werden,"to become, get"
können,"to be able to, can"
müssen,"to have to, must"
sagen,to say
machen,"to do, make"
geben,to give
kommen,to come
sollen,"should, ought to"
wollen,to want to
gehen,to go
wissen,to know
sehen,to see
lassen,"to let, allow, have done"
stehen,to stand
finden,to find
bleiben,"to stay, remain"
liegen,to lie
heißen,to be called
denken,to think
nehmen,to take
tun,to do
dürfen,"to be allowed, may"
glauben,to believe
halten,"to stop, hold"
nennen,"name, call"
mögen,to like
zeigen,to show
führen,to lead
sprechen,to speak
bringen,"to bring, take"
leben,to live
fahren,"to drive, ride, go"
meinen,"to think, have an opinion"
fragen,to ask
kennen,to know
gelten,to be valid
stellen,"to place, set"
spielen,to play
arbeiten,to work
brauchen,to need
folgen,to follow
lernen,to learn
bestehen,"to exist, insist, pass (an exam)"
verstehen,to understand
setzen,"to set, place, put"
bekommen,"to get, receive"
beginnen,to begin
erzählen,to tell
versuchen,"to try, attempt"
schreiben,to write
laufen,to run
erklären,to explain
entsprechen,to correspond
sitzen,to sit
ziehen,"to pull, move"
scheinen,"to shine, seem, appear"
fallen,to fall
gehören,to belong
entstehen,"to originate, develop"
erhalten,to receive
treffen,to meet
suchen,"to search, look for"
legen,"to lay, put"
vorstellen,"to introduce, imagine"
handeln,"to deal, trade"
erreichen,"to achieve, reach"
tragen,"to carry, wear"
schaffen,"to manage, create"
lesen,to read
verlieren,to lose
darstellen,"to depict, portray"
erkennen,"to recognize, admit"
entwickeln,to develop
reden,to talk
aussehen,"to appear, look"
erscheinen,to appear
bilden,"to form, educate"
anfangen,to begin
erwarten,to expect
wohnen,to live
betreffen,"to affect, concern"
warten,to wait
vergehen,to pass (time)
helfen,to help
gewinnen,"to win, gain"
schließen,to close
fühlen,to feel
bieten,to offer
interessieren,to interest
erinnern,to remind
ergeben,to result in
anbieten,to offer
studieren,to study
verbinden,"to connect, link"
ansehen,"to look at, watch"
fehlen,"to lack, be missing, be absent"
bedeuten,to mean
vergleichen,to compare
steigen,"to climb, increase"
nutzen,to use
schauen,to look
verlassen,to leave
einsetzen,"to put in, insert"
ändern,to change
wachsen,to grow
ausgehen,"to go out, assume"
geschehen,"to happen, occur"
beschreiben,to describe
annehmen,"to accept, assume"
kriegen,"to get, receive"
planen,to plan
wirken,"to have an effect, to work"
bezeichnen,"to call, name"
befinden,to be
passieren,"to take place, happen"
rufen,"to call, name"
aufnehmen,"to record, include"
zunehmen,to increase
bestimmen,"to decide, determine"
fordern,"to demand, claim"
gefallen,to please
öffnen,to open
schlagen,"to hit, beat"
treten,to step
übernehmen,to take over
verändern,to change
lachen,to laugh
verwenden,to use
wählen,"to choose, elect, vote"
erfolgen,"to take place, occur"
enthalten,to contain
betrachten,"to look at, consider"
entscheiden,to decide
gelingen,to succeed
kaufen,to buy
erfahren,"to experience, find out"
vergessen,to forget
stattfinden,"to take place, occur"
bewegen,to move
feststellen,"to establish, detect"
verschwinden,to disappear
dienen,to serve
trinken,to drink
auftreten,"to appear, occur"
stimmen,"to be correct, vote, tune"
verhalten,"to behave, react"
berichten,to report
rechnen,"to calculate, do arithmetic"
beobachten,"to observe, watch"
erleben,to experience
holen,"to get, fetch"
essen,to eat
reichen,"to reach, be enough"
sterben,to die
unterscheiden,to distinguish
leisten,to achieve
verlangen,"to request, demand"
werfen,to throw
vorliegen,"to be, exist"
zählen,to count
wünschen,"to want, wish"
bauen,to build
hängen,to hang
hoffen,to hope
freuen,to be happy
teilen,"to divide, share"
bezahlen,to pay
dauern,"to last, take time"
stecken,"to put, be located"
besuchen,to visit
bitten,"to request, ask"
sorgen,"to worry, take care"
ankommen,to arrive
beziehen,"to refer, put, get"
spüren,"to sense, notice"
erhöhen,"to raise, increase"
melden,"to report, register"
melden,"to report, register"
vorkommen,"to happen, occur, seem"
besitzen,"to own, have"
betonen,to stress
erfüllen,"to grant, fulfill"
beteiligen,to participate
